(3.947786236863152-112.12760074124975j),0j,0j,0j,0j,0j,0j,0j,0j,(-2.4756871155223155+94.67709240702192j)
0j,(3.809810341527167-69.8958225673682j),0j,(-1.7782399929008963+19.604473288681643j),0j,0j,0j,0j,0j,(-0.25333035572537455+30.686875990004914j)
0j,0j,(0.12116716899015748-6.684306882450388j),0j,0j,0j,0j,0j,0j,(-0.12116716899015748+6.684306882450388j)
0j,(-1.7782399929008963+19.604473288681643j),0j,(8.092503451618981-99.39026581610155j),(-0+8.14332247557003j),0j,0j,(-1.7304985228364778+19.2614441271631j),(-1.0750264201442332+13.515108508842037j),0j
0j,0j,0j,(-0+8.14332247557003j),(0.9567943191286118-19.763786082959445j),(-0.9567943191286118+11.620463607389414j),0j,0j,0j,0j
0j,0j,0j,0j,(-0.9567943191286118+11.620463607389414j),(0.9567943191286118-17.579939173539593j),(-0+5.959475566150179j),0j,0j,0j
0j,0j,0j,0j,0j,(-0+5.959475566150179j),-5.959475566150179j,0j,0j,0j
0j,0j,0j,(-1.7304985228364778+19.2614441271631j),0j,0j,0j,(5.0846647838294965-55.74806533097862j),(-1.623667738156541+17.225177076652418j),0j
0j,0j,0j,(-1.0750264201442332+13.515108508842037j),0j,0j,0j,(-1.623667738156541+17.225177076652418j),(18.34062915830077-327.94568858549445j),0j
(-2.4756871155223155+94.67709240702192j),(-0.25333035572537455+30.686875990004914j),(-0.12116716899015748+6.684306882450388j),0j,0j,0j,0j,0j,0j,(2.8501846402378477-132.04827527947722j)
