(2.670955293722539-99.87038762908641j),0j,0j,0j,0j,0j,0j,0j,0j,(-2.4756871155223155+94.67709240702192j)
0j,(0.6030005730410295-11.641438974755694j),0j,(-0.6030005730410292+5.435077454197121j),0j,0j,0j,0j,0j,0j
0j,0j,(0.12116716899015748-6.684306882450388j),0j,0j,0j,0j,0j,0j,(-0.12116716899015748+6.684306882450388j)
0j,(-0.6030005730410292+5.435077454197121j),0j,(2.3009267203670207-18.003822128791953j),0j,0j,0j,(-1.1431792334569655+9.081039990834148j),(-0.5547469138690259+3.487704683760684j),0j
0j,0j,0j,0j,(0.9035750461078806-11.412589349125867j),(-0.9035750461078806+3.2692668735558357j),0j,0j,0j,0j
0j,0j,0j,0j,(-0.9035750461078806+3.2692668735558357j),(0.9035750461078806-3.2692668735558357j),0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,-5.959475566150179j,0j,0j,0j
0j,0j,0j,(-1.1431792334569655+9.081039990834148j),0j,0j,0j,(2.260503355240948-13.540132437708941j),(-1.1173241217839827+4.459092446874794j),0j
0j,0j,0j,(-0.5547469138690259+3.487704683760684j),0j,0j,0j,(-1.1173241217839827+4.459092446874794j),(8.63297816398398-98.68396486784191j),0j
(-2.4756871155223155+94.67709240702192j),0j,(-0.12116716899015748+6.684306882450388j),0j,0j,0j,0j,0j,0j,(2.8501846402378477-132.04827527947722j)
