(0.0006062233605259677+0.035238148125463505j),0j,(0.00034136710399780193+0.026617015012886547j),0j,0j,0j,0j,0j,0j,(0.00034136710399780193+0.026617015012886547j)
0j,(0.004893305049761371+0.1099830278693951j),0j,(0.004012660779924425+0.05168127567029646j),0j,0j,0j,(0.00394204551070727+0.03549027546625927j),(-6.595547307172398e-05+0.003503136429826908j),0j
(0.00034136710399780215+0.026617015012886554j),0j,(0.003054389954585553+0.17763268161727355j),0j,0j,0j,0j,0j,0j,(0.00034338995458555317+0.02807768161727357j)
0j,(0.004012660779924426+0.05168127567029646j),0j,(0.015006939202407409+0.10947679507398098j),0j,0j,0j,(0.012830367580412175+0.07503080060458159j),(0.00029806206195332353+0.007463011618083423j),0j
0j,0j,0j,0j,(4.353835215043935e-18+0.1228j),(4.353835215043935e-18+0.1228j),0j,0j,0j,0j
0j,0j,0j,0j,(8.316066709508943e-18+0.1228j),(0.07854064272211721+0.40697155009451796j),0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0.1678j,0j,0j,0j
0j,(0.003942045510707268+0.03549027546625926j),0j,(0.012830367580412174+0.0750308006045816j),0j,0j,0j,(0.022453297415134018+0.12436274855208522j),(0.00038732513367198813+0.008563617369661446j),0j
0j,(-6.59554730717239e-05+0.003503136429826909j),0j,(0.0002980620619533237+0.007463011618083425j),0j,0j,0j,(0.00038732513367198846+0.008563617369661448j),(0.000826728531978467+0.010717807405514162j),0j
(0.0003413671039978021+0.02661701501288655j),0j,(0.00034338995458555317+0.02807768161727357j),0j,0j,0j,0j,0j,0j,(0.00034338995458555317+0.02807768161727357j)
